referrer,views_total,views_unique
obsproject.com,3185,1847
Google,709,431
youtube.com,176,122
github.com,174,67
Bing,110,66
obsproject-com.translate.goog,52,14
zowietek.com,34,10
chatgpt.com,28,22
github-com.translate.goog,25,10
search.brave.com,17,10
