referrer,views_total,views_unique
obsproject.com,4350,2197
Google,1198,557
youtube.com,265,187
Bing,236,81
github.com,174,46
chatgpt.com,46,28
obsproject-com.translate.goog,41,15
zowietek.com,40,12
DuckDuckGo,33,17
Yahoo,27,10
