referrer,views_total,views_unique
obsproject.com,5821,2458
Google,2002,770
youtube.com,487,354
Bing,299,117
github.com,239,91
chatgpt.com,81,36
search.brave.com,69,31
Yahoo,47,22
zowietek.com,40,14
obsproject-com.translate.goog,30,15
