time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,36,11,466,211
2026-09-02 00:00:00+00:00,11,8,437,208
2026-09-03 00:00:00+00:00,11,2,420,203
2026-09-04 00:00:00+00:00,7,6,458,222
2026-09-05 00:00:00+00:00,5,5,492,235
2026-09-06 00:00:00+00:00,5,4,896,392
2026-09-07 00:00:00+00:00,11,10,341,167
2026-09-08 00:00:00+00:00,3,3,315,161
2026-09-09 00:00:00+00:00,4,3,401,184
2026-09-10 00:00:00+00:00,16,4,509,215
2026-09-11 00:00:00+00:00,48,35,403,200
2026-09-12 00:00:00+00:00,21,15,446,214
2026-09-13 00:00:00+00:00,67,18,738,324
2026-09-14 00:00:00+00:00,67,64,380,164
