url_path,views_total,views_unique
/glikely/obs-ptz/releases/tag/v0.19.1,2047,1406
/glikely/obs-ptz,1821,1110
/glikely/obs-ptz/releases/tag/v0.19.0,1232,770
/glikely/obs-ptz/releases,935,630
/glikely/obs-ptz/releases/tag/v0.19.0-rc1,156,118
/glikely/obs-ptz/compare/v0.19.0...v0.19.1,124,104
/glikely/obs-ptz/issues,118,72
/glikely/obs-ptz/releases/tag/v0.18.2,77,53
/glikely/obs-ptz/pulls,67,43
/glikely/obs-ptz/tree/main/.github,62,47
