referrer,views_total,views_unique
obsproject.com,3150,1845
Google,707,439
github.com,174,71
youtube.com,171,121
Bing,112,69
obsproject-com.translate.goog,55,15
zowietek.com,34,10
github-com.translate.goog,29,12
chatgpt.com,28,22
yandex.ru,15,9
