referrer,views_total,views_unique
obsproject.com,3366,1840
Google,773,439
youtube.com,191,132
Bing,154,68
github.com,145,49
obsproject-com.translate.goog,46,15
zowietek.com,38,12
chatgpt.com,27,21
search.brave.com,22,13
github-com.translate.goog,22,9
