referrer,views_total,views_unique
obsproject.com,5915,2503
Google,2061,778
youtube.com,543,381
Bing,317,125
github.com,316,130
chatgpt.com,91,38
search.brave.com,68,30
Yahoo,53,24
obsproject-com.translate.goog,36,15
DuckDuckGo,31,15
