referrer,views_total,views_unique
obsproject.com,5671,2481
Google,1927,757
youtube.com,420,312
Bing,220,90
github.com,217,77
chatgpt.com,71,33
search.brave.com,67,29
Yahoo,37,16
zowietek.com,36,12
obsproject-com.translate.goog,27,13
