referrer,views_total,views_unique
obsproject.com,5414,2440
Google,1814,734
youtube.com,364,262
Bing,232,90
github.com,218,67
chatgpt.com,72,36
search.brave.com,69,29
Yahoo,35,16
zowietek.com,27,10
DuckDuckGo,26,14
