url_path,views_total,views_unique
/glikely/obs-ptz/releases/tag/v0.19.1,1818,1227
/glikely/obs-ptz,1522,920
/glikely/obs-ptz/releases/tag/v0.19.2,957,685
/glikely/obs-ptz/releases,709,456
/glikely/obs-ptz/releases/tag/v0.19.0-rc1,115,87
/glikely/obs-ptz/issues,109,62
/glikely/obs-ptz/compare/v0.19.0...v0.19.1,91,82
/glikely/obs-ptz/releases/tag/v0.19.0,61,34
/glikely/obs-ptz/pulls,60,31
/glikely/obs-ptz/actions,54,24
