referrer,views_total,views_unique
obsproject.com,3865,2037
Google,972,495
youtube.com,227,157
Bing,209,76
github.com,155,47
obsproject-com.translate.goog,48,16
zowietek.com,36,9
chatgpt.com,34,23
DuckDuckGo,31,15
search.brave.com,27,12
