referrer,views_total,views_unique
obsproject.com,3669,1964
Google,844,461
youtube.com,221,145
Bing,199,75
github.com,184,55
obsproject-com.translate.goog,48,16
zowietek.com,38,10
chatgpt.com,35,25
DuckDuckGo,33,17
search.brave.com,24,11
