referrer,views_total,views_unique
obsproject.com,5176,2387
Google,1711,695
youtube.com,350,242
Bing,249,92
github.com,218,62
chatgpt.com,73,37
search.brave.com,58,25
zowietek.com,35,10
DuckDuckGo,34,16
Yahoo,34,15
