referrer,views_total,views_unique
obsproject.com,4105,2114
Google,1074,539
Bing,239,78
youtube.com,236,162
github.com,154,36
obsproject-com.translate.goog,50,17
zowietek.com,42,14
chatgpt.com,37,23
DuckDuckGo,32,16
search.brave.com,29,12
