referrer,views_total,views_unique
obsproject.com,3191,1835
Google,711,424
youtube.com,172,117
github.com,167,64
Bing,114,70
obsproject-com.translate.goog,53,14
zowietek.com,33,9
chatgpt.com,28,22
github-com.translate.goog,24,9
search.brave.com,18,11
