referrer,views_total,views_unique
obsproject.com,4927,2349
Google,1534,649
youtube.com,325,226
Bing,237,88
github.com,202,57
chatgpt.com,59,33
DuckDuckGo,42,21
search.brave.com,38,19
Yahoo,37,16
zowietek.com,35,10
