referrer,views_total,views_unique
obsproject.com,3555,1894
Google,835,454
youtube.com,208,139
Bing,177,76
github.com,156,57
obsproject-com.translate.goog,50,16
zowietek.com,43,11
chatgpt.com,29,22
DuckDuckGo,29,14
search.brave.com,25,13
