time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,4,3,401,184
2026-09-10 00:00:00+00:00,16,4,509,215
2026-09-11 00:00:00+00:00,48,35,403,200
2026-09-12 00:00:00+00:00,21,15,446,214
2026-09-13 00:00:00+00:00,67,18,738,324
2026-09-14 00:00:00+00:00,67,64,380,164
2026-09-15 00:00:00+00:00,57,35,402,166
2026-09-16 00:00:00+00:00,44,27,363,174
2026-09-17 00:00:00+00:00,99,19,364,181
2026-09-18 00:00:00+00:00,142,48,397,179
2026-09-19 00:00:00+00:00,187,37,504,228
2026-09-20 00:00:00+00:00,220,39,885,361
2026-09-21 00:00:00+00:00,153,33,432,173
2026-09-22 00:00:00+00:00,272,28,398,174
