referrer,views_total,views_unique
obsproject.com,5577,2463
Google,1848,741
youtube.com,392,284
github.com,226,73
Bing,224,87
chatgpt.com,70,34
search.brave.com,70,30
Yahoo,39,17
zowietek.com,27,10
DuckDuckGo,24,13
