referrer,views_total,views_unique
obsproject.com,3472,1840
Google,818,446
youtube.com,200,137
Bing,175,74
github.com,154,56
obsproject-com.translate.goog,52,17
zowietek.com,44,12
DuckDuckGo,29,14
search.brave.com,25,13
chatgpt.com,24,19
