referrer,views_total,views_unique
obsproject.com,3615,1907
Google,842,457
youtube.com,216,144
Bing,188,75
github.com,157,56
obsproject-com.translate.goog,51,17
zowietek.com,38,10
chatgpt.com,33,23
DuckDuckGo,32,16
github-com.translate.goog,23,9
