time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,68,4,716,251
2026-08-28 00:00:00+00:00,12,11,665,237
2026-08-29 00:00:00+00:00,10,9,672,260
2026-08-30 00:00:00+00:00,2,2,1112,422
2026-08-31 00:00:00+00:00,66,7,588,218
2026-09-01 00:00:00+00:00,36,11,466,211
2026-09-02 00:00:00+00:00,11,8,437,208
2026-09-03 00:00:00+00:00,11,2,420,203
2026-09-04 00:00:00+00:00,7,6,458,222
2026-09-05 00:00:00+00:00,5,5,492,235
2026-09-06 00:00:00+00:00,5,4,896,392
2026-09-07 00:00:00+00:00,11,10,341,167
2026-09-08 00:00:00+00:00,3,3,315,161
2026-09-09 00:00:00+00:00,4,3,401,184
