referrer,views_total,views_unique
obsproject.com,4482,2226
Google,1273,575
youtube.com,290,203
Bing,234,81
github.com,178,48
chatgpt.com,49,30
zowietek.com,41,13
obsproject-com.translate.goog,40,15
DuckDuckGo,37,18
search.brave.com,29,15
