referrer,views_total,views_unique
obsproject.com,3956,2091
Google,1043,530
youtube.com,226,156
Bing,224,78
github.com,152,46
obsproject-com.translate.goog,54,19
chatgpt.com,34,23
DuckDuckGo,32,16
search.brave.com,30,13
zowietek.com,26,11
