referrer,views_total,views_unique
obsproject.com,3289,1867
Google,753,430
youtube.com,188,132
Bing,152,74
github.com,149,51
obsproject-com.translate.goog,46,15
zowietek.com,40,13
chatgpt.com,28,22
search.brave.com,24,14
github-com.translate.goog,20,8
