referrer,views_total,views_unique
obsproject.com,4201,2176
Google,1116,540
youtube.com,262,180
Bing,234,79
github.com,169,39
chatgpt.com,40,26
zowietek.com,40,12
obsproject-com.translate.goog,39,14
DuckDuckGo,33,17
search.brave.com,31,13
