referrer,views_total,views_unique
obsproject.com,3427,1850
Google,783,431
youtube.com,196,135
Bing,162,71
github.com,144,51
obsproject-com.translate.goog,55,17
zowietek.com,32,10
chatgpt.com,24,19
search.brave.com,24,13
github-com.translate.goog,24,10
