referrer,views_total,views_unique
obsproject.com,5304,2443
Google,1752,704
youtube.com,362,255
Bing,234,88
github.com,217,66
chatgpt.com,77,39
search.brave.com,60,25
Yahoo,35,16
DuckDuckGo,26,14
zowietek.com,26,9
